Bird ID,Song duration (sec),Total no. notes /song,Tempo,Before/After experiment,Experimental group (Control/High-nutrition)
BF0025,8.072,66,8.176412289,B,h
BF0025,2.575,19,7.378640777,B,h
BF0025,6.029,45,7.463924366,B,h
BF0025,10.255,81,7.898586056,B,h
BF0025,1.617,15,9.276437848,B,h
BF0025,11.195,96,8.575256811,B,h
BF0025,3.48,28,8.045977011,B,h
BF0025,7.834,65,8.297166199,B,h
BF0025,4.635,41,8.845738943,B,h
BF0025,16.088,125,7.769766285,B,h
BF0025,4.682,42,8.970525416,B,h
BF0025,5.425,48,8.847926267,B,h
BF0025,7.619,58,7.612547578,B,h
BF0025,10.94,92,8.409506399,B,h
BF0025,4.24,33,7.783018868,B,h
BF0025,6.922,61,8.812481942,B,h
BF0025,6.731,59,8.765413757,B,h
BF0025,11.508,98,8.515815085,B,h
BF0025,3.343,33,9.871373018,B,h
BF0025,6.243,56,8.970046452,B,h
BF0020,4.525,33,7.29281768,B,h
BF0020,3.289,24,7.297050775,B,h
BF0020,3.335,24,7.196401799,B,h
BF0020,3.468,25,7.208765859,B,h
BF0020,3.428,22,6.417736289,B,h
BF0020,6.998,46,6.573306659,B,h
BF0020,3.468,20,5.767012687,B,h
BF0020,7.16,53,7.402234637,B,h
BF0020,6.946,46,6.622516556,B,h
BF0020,9.837,66,6.709362611,B,h
BF0024,6.308,51,8.084971465,B,h
BF0024,10.238,83,8.107052159,B,h
BF0024,0.604,6,9.933774834,B,h
BF0024,9.605,74,7.704320666,B,h
BF0024,6.632,49,7.388419783,B,h
BF0024,9.825,75,7.633587786,B,h
BF0024,8.025,63,7.85046729,B,h
BF0024,12.858,96,7.466168922,B,h
BF0024,11.386,88,7.728789742,B,h
BF0024,10.04,78,7.768924303,B,h
BF0024,11.451,89,7.772246965,B,h
BF0024,6.215,50,8.045052293,B,h
BF0024,6.557,52,7.930456001,B,h
BF0024,8.368,66,7.887189293,B,h
BF0024,10.022,79,7.882658152,B,h
BF0024,4.084,32,7.835455436,B,h
BF0024,6.043,45,7.446632467,B,h
BF0024,6.267,49,7.818733046,B,h
BF0024,2.479,21,8.471157725,B,h
BF0024,11.479,90,7.840404216,B,h
BF0007,3.683,30,8.145533532,B,h
BF0007,9.262,83,8.961347441,B,h
BF0007,6.743,63,9.343022394,B,h
BF0007,10.045,86,8.56147337,B,h
BF0007,1.236,11,8.899676375,B,h
BF0007,5.657,53,9.368923458,B,h
BF0007,13.262,107,8.068164681,B,h
BF0007,14.005,116,8.282756159,B,h
BF0007,11.781,103,8.742891096,B,h
BF0007,11.241,106,9.429766035,B,h
BF0007,13.5,113,8.37037037,B,h
BF0007,14.283,117,8.191556396,B,h
BF0007,10.382,87,8.379888268,B,h
BF0007,9.578,85,8.874504072,B,h
BF0007,10.888,94,8.633357825,B,h
BF0007,10.522,97,9.2187797,B,h
BF0007,13.651,115,8.424291261,B,h
BF0007,11.265,102,9.054593875,B,h
BF0007,5.256,49,9.322678843,B,h
BF0007,11.821,112,9.474663734,B,h
BF0008,14.701,81,5.509829263,B,h
BF0008,15.328,88,5.741127349,B,h
BF0008,13.186,77,5.839526771,B,h
BF0008,37.178,206,5.540911292,B,h
BF0008,23.954,131,5.468815229,B,h
BF0008,13.808,75,5.431633835,B,h
BF0008,18.005,97,5.387392391,B,h
BF0001,3.515,38,10.81081081,A,c
BF0001,1.751,15,8.566533409,A,c
BF0001,3.393,35,10.31535514,A,c
BF0001,3.593,35,9.741163373,A,c
BF0006,2.093,23,10.98901099,A,c
BF0006,6.916,70,10.12145749,A,c
BF0006,6.615,67,10.12849584,A,c
BF0006,13.54,122,9.010339734,A,c
BF0006,5.843,62,10.61098751,A,c
BF0006,6.847,71,10.36950489,A,c
BF0006,5.855,54,9.222886422,A,c
BF0006,8.008,71,8.866133866,A,c
BF0006,5.367,53,9.875163033,A,c
BF0006,7.131,60,8.413967186,A,c
BF0006,7.88,79,10.02538071,A,c
BF0006,9.198,80,8.697542944,A,c
BF0006,9.47,94,9.926082365,A,c
BF0006,5.013,47,9.375623379,A,c
BF0006,9.099,100,10.99021871,A,c
BF0006,2.639,27,10.23114816,A,c
BF0006,5.424,56,10.32448378,A,c
BF0006,9.349,86,9.198844796,A,c
BF0006,4.757,47,9.880176582,A,c
BF0006,8.003,85,10.62101712,A,c
BF0015,12.02,159,13.22795341,A,c
BF0015,12.536,164,13.08232291,A,c
BF0015,10.626,133,12.51646904,A,c
BF0015,8.983,120,13.35856618,A,c
BF0015,8.107,104,12.82841988,A,c
BF0015,9.303,121,13.00655702,A,c
BF0015,12.867,168,13.05665656,A,c
BF0015,4.438,58,13.06894998,A,c
BF0015,6.742,85,12.60753486,A,c
BF0015,11.613,150,12.91655903,A,c
BF0015,9.808,129,13.15252855,A,c
BF0015,8.6,113,13.13953488,A,c
BF0015,10.765,140,13.00510915,A,c
BF0015,13.134,169,12.86736714,A,c
BF0015,13.337,173,12.97143286,A,c
BF0015,11.05,147,13.30316742,A,c
BF0015,10.467,136,12.99321678,A,c
BF0015,11.102,146,13.15078364,A,c
BF0015,4.02,54,13.43283582,A,c
BF0015,13.587,169,12.4383602,A,c
BF0019,4.583,36,7.855116736,A,c
BF0019,11.526,97,8.415755683,A,c
BF0019,10.666,86,8.063003938,A,c
BF0019,6.986,56,8.016032064,A,c
BF0019,5.558,44,7.916516733,A,c
BF0019,12.466,103,8.262473929,A,c
